vl_total_vendas;qtd_unidades_antigas;qtd_unidades_vendidas;vl_total_custo;qtd_clientes;sk_loja;sk_produto;sk_calendario;sk_divulgacao
49.18;13;13;39.63;13;1;1;1;1
15.61;9;9;12.73;6;4;1;1;1
10.76;4;4;9.57;2;6;1;1;1
109.02;99;99;95.26;77;1;2;1;1
38.31;52;52;33.63;45;14;2;1;1
39.1;80;80;34.43;69;17;2;1;1
1.87;3;3;1.67;2;4;3;1;1
38.7;79;79;34.49;47;6;3;1;1
67.07;61;61;54.61;55;12;3;1;1
2.05;2;2;1.77;1;13;4;1;1
46.53;30;30;39.04;25;17;4;1;1
16.67;24;24;13.42;21;18;4;1;1
31.92;39;39;27.0;34;2;10;1;1
23.54;48;48;20.14;44;4;10;1;1
20.29;29;29;17.8;19;7;11;1;1
15.97;10;10;14.14;7;12;11;1;1
43.92;42;42;35.49;27;17;11;1;1
39.09;66;66;32.74;47;9;12;1;1
78.76;89;89;69.08;80;10;12;1;1
54.77;41;41;44.55;25;18;12;1;1
13.4;15;15;11.64;8;5;13;1;1
78.29;59;59;64.14;38;10;13;1;1
41.8;71;71;37.02;39;20;13;1;1
17.59;20;3;14.84;15;6;16;1;1
58.12;99;2;50.3;96;13;16;1;1
38.62;29;1;32.92;16;16;16;1;1
51.99;75;75;44.14;60;2;17;1;1
75.97;49;49;63.66;28;5;17;1;1
84.65;82;82;67.79;81;6;17;1;1
3.38;5;5;2.71;5;3;18;1;1
29.44;19;19;24.57;17;8;18;1;1
2.85;3;3;2.28;2;13;18;1;1
68.11;84;84;56.01;56;6;20;1;1
19.1;22;22;15.5;18;12;20;1;1
14.6;9;9;11.85;7;1;1;2;1
176.0;48;48;145.07;40;13;1;2;1
24.43;50;50;20.07;29;1;2;2;1
2.01;3;3;1.64;2;2;2;2;1
53.84;49;49;45.19;44;19;2;2;1
104.07;94;94;87.24;49;2;3;2;1
57.55;78;78;47.63;78;6;3;2;1
44.4;91;91;37.89;71;20;3;2;1
49.15;47;47;40.64;46;3;4;2;1
34.13;49;49;28.16;41;4;4;2;1
63.08;41;41;54.25;38;20;4;2;1
32.7;30;30;28.74;28;7;10;2;1
17.48;24;24;14.7;15;14;10;2;1
9.11;19;19;7.37;14;19;10;2;1
35.16;23;23;30.94;12;4;11;2;1
54.02;78;78;48.01;45;5;11;2;1
96.16;93;93;84.38;69;11;11;2;1
7.91;9;9;6.6;5;10;12;2;1
98.66;74;74;86.01;73;12;12;2;1
19.61;33;33;17.58;26;15;12;2;1
