nm_loja;nm_cidade;sg_estado;nm_regiao;nm_produto;nm_subcategoria;nm_categoria;nm_departamento;nm_promocao;de_tipo_reducao_preco;de_veiculo_divulgacao;de_tipo_display;dt_compra;nm_dia_da_semana;dt_mes;dt_ano;fl_feriado;dt_dia;dt_semestre;vl_total_vendas;qtd_unidades_antigas;qtd_unidades_vendidas;vl_total_custo;qtd_clientes;nm_pais
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-02;Domingo;10;2006;Não;02;4;49.18;13;13;39.63;13;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-03;Segunda;10;2006;Não;03;4;14.6;9;9;11.85;7;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-30;Domingo;10;2006;Não;30;4;118.23;70;70;97.89;60;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-10-31;Segunda;10;2006;Sim;31;4;210.5;91;91;186.21;84;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-08;Terça;11;2006;Não;08;4;44.78;18;18;37.39;11;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-27;Domingo;11;2006;Não;27;4;150.42;89;89;120.38;71;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-11-29;Terça;11;2006;Não;29;4;230.77;61;61;206.93;55;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-02;Sexta;12;2006;Não;02;4;125.03999999999999;55;55;106.37;41;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2006-12-11;Domingo;12;2006;Não;11;4;33.47;20;20;27.31;12;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-14;Sábado;01;2007;Não;14;1;378.59;100;100;320.44;75;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-15;Domingo;01;2007;Não;15;1;167.75;99;99;146.78;56;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-01-29;Domingo;01;2007;Não;29;1;82.97;22;22;66.55;13;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-02;Quinta;02;2007;Não;02;1;161.66;64;64;144.74;55;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-08;Quarta;02;2007;Não;08;1;233.09;62;62;200.38;58;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-09;Quinta;02;2007;Não;09;1;220.97;87;87;198.34;79;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-15;Quarta;02;2007;Não;15;1;53.6;14;14;46.26;8;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-02-20;Segunda;02;2007;Não;20;1;43.68;17;17;35.83;13;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-13;Quarta;03;2007;Não;13;1;47.75;28;28;42.56;25;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-15;Sexta;03;2007;Não;15;1;249.3;66;66;213.19;36;Brasil
Loja 1;Rio Branco;AC;Norte;Baconzitos;Salgados;Comida;Mercearia;Sem Promoção;Sem redução;Nenhum;Nenhum;2007-03-23;Sábado;03;2007;Não;23;1;302.26;79;79;270.96;75;Brasil
